Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,2,2018,38,U,true,JMC,APRIL,2018,Lecture 7
1,CN,2,2018,38,U,true,PYC,DECEMBER,2018,Lecture 11
2,CN,5,2025,39,U,true,JMC,APRIL,2025,Lecture 4
2,CN,5,2025,39,U,true,PYC,JANUARY,2025,Lecture 12
3,GB,11,2018,50,F,false,JMC,JANUARY,2018,Lecture 10
3,GB,11,2018,50,F,false,PYC,FEBRUARY,2020,Lecture 7
4,GB,8,2023,39,U,false,JMC,DECEMBER,2023,Lecture 2
4,GB,8,2023,39,U,false,PYC,AUGUST,2024,Lecture 5
5,IN,4,2018,76,M,false,JMC,DECEMBER,2022,Lecture 12
5,IN,4,2018,76,M,false,PYC,MARCH,2020,Lecture 9
6,US,9,2023,75,F,true,JMC,APRIL,2025,Lecture 8
6,US,9,2023,75,F,true,PYC,OCTOBER,2023,Lecture 8
7,GB,8,2024,55,M,false,JMC,JULY,2025,Lecture 9
7,GB,8,2024,55,M,false,PYC,FEBRUARY,2024,Lecture 5
8,GB,9,2018,24,U,false,JMC,DECEMBER,2019,Lecture 9
8,GB,9,2018,24,U,false,PYC,JANUARY,2022,Lecture 14
9,CN,3,2016,45,U,false,JMC,FEBRUARY,2016,Lecture 13
9,CN,3,2016,45,U,false,PYC,MAY,2024,Lecture 4
10,CN,12,2024,60,U,false,JMC,OCTOBER,2025,Lecture 9
10,CN,12,2024,60,U,false,PYC,JULY,2025,Lecture 13
11,AU,5,2025,84,F,false,JMC,JANUARY,2025,Lecture 11
11,AU,5,2025,84,F,false,PYC,JUNE,2025,Lecture 14
12,US,8,2020,70,F,true,JMC,MAY,2020,Lecture 11
12,US,8,2020,70,F,true,PYC,MARCH,2025,Lecture 6
13,US,11,2016,21,M,false,JMC,FEBRUARY,2017,Lecture 12
13,US,11,2016,21,M,false,PYC,NOVEMBER,2020,Lecture 13
14,IN,7,2017,68,M,true,JMC,MARCH,2018,Lecture 2
14,IN,7,2017,68,M,true,PYC,JULY,2021,Lecture 13
15,GB,7,2017,33,M,false,JMC,JUNE,2019,Lecture 11
15,GB,7,2017,33,M,false,PYC,OCTOBER,2025,Lecture 6
16,CN,12,2022,45,U,false,JMC,MARCH,2022,Lecture 2
16,CN,12,2022,45,U,false,PYC,OCTOBER,2024,Lecture 9
17,AU,12,2024,48,U,true,JMC,FEBRUARY,2024,Lecture 2
17,AU,12,2024,48,U,true,PYC,JUNE,2025,Lecture 11
18,US,4,2021,66,M,true,JMC,AUGUST,2025,Lecture 10
18,US,4,2021,66,M,true,PYC,SEPTEMBER,2023,Lecture 8
19,AU,7,2015,89,U,false,JMC,JULY,2021,Lecture 6
19,AU,7,2015,89,U,false,PYC,OCTOBER,2019,Lecture 9
20,CN,10,2025,30,U,true,JMC,JUNE,2025,Lecture 10
20,CN,10,2025,30,U,true,PYC,NOVEMBER,2025,Lecture 6
21,AU,6,2022,53,M,false,JMC,JANUARY,2023,Lecture 2
21,AU,6,2022,53,M,false,PYC,SEPTEMBER,2022,Lecture 13
22,AU,7,2023,40,U,false,JMC,APRIL,2023,Lecture 3
22,AU,7,2023,40,U,false,PYC,AUGUST,2025,Lecture 4
23,AU,11,2016,81,F,true,JMC,NOVEMBER,2020,Lecture 6
23,AU,11,2016,81,F,true,PYC,JANUARY,2025,Lecture 2
24,IN,5,2020,77,U,true,JMC,JUNE,2023,Lecture 13
24,IN,5,2020,77,U,true,PYC,SEPTEMBER,2021,Lecture 1
25,AU,5,2017,32,U,true,JMC,DECEMBER,2022,Lecture 4
25,AU,5,2017,32,U,true,PYC,JULY,2025,Lecture 3
